name,native,wasm,wasm_obfuscated,native_obfuscated
armstrong,0.0017,0.016,0.0161,0.0022
anagram,0.0019,0.0164,0.0106,0.0028
frequency,0.0019,0.0152,0.0145,0.0026
quicksort,0.0021,0.0162,0.0154,0.0015
insertionsort,0.0014,0.0137,0.0132,0.0031
concatstrings,0.0018,0.0155,0.0156,0.0016
printinitials,0.0018,0.0155,0.0169,0.0022
lcm,0.001,0.0168,0.0193,0.0018
numtowords,0.003,0.0176,0.0163,0.0021
random,0.0031,0.0176,0.0169,0.0018
decimaltobinary,0.0021,0.0172,0.0203,0.0018
reverse,0.0017,0.0174,0.0139,0.0019
perfect,0.0017,0.0175,0.0152,0.0026
gcd,0.001,0.011,0.0188,0.0016
binarysearch,0.0015,0.0176,0.0189,0.0015
comparestrings,0.0014,0.0146,0.0158,0.003
minmaxarray,0.0017,0.038,0.0135,0.0022
binaryadd,0.0021,0.019,0.0157,0.002
floyd,0.0021,0.0175,0.0168,0.0016
palindrome,0.0022,0.0179,0.0182,0.0014
mergesort,0.0019,0.0153,0.0108,0.0022
stringtoASCII,0.0021,0.0152,0.0193,0.002
iofile,0.0018,0.0165,0.0176,0.0016
bubblesort,0.0016,0.0155,0.0158,0.0021
factorial,0.0017,0.0161,0.0163,0.0021
prime,0.0016,0.0167,0.0127,0.0019
multtable,0.0016,0.0146,0.0119,0.0017
factorialrec,0.0019,0.0159,0.0164,0.0024
selectionsort,0.0019,0.0189,0.0179,0.0016
vowels,0.0014,0.0174,0.0151,0.0023
decimaltohex,0.0019,0.0208,0.0162,0.002
romannumerals,0.0018,0.0179,0.0151,0.0022
linearsearch,0.0024,0.0143,0.0126,0.004
binarymult,0.0017,0.0156,0.0149,0.0014
pyramid,0.0017,0.0165,0.0156,0.0023
fib,0.0016,0.0183,0.0147,0.0013
decimaltooctal,0.0013,0.0174,0.0168,0.0027
