wasm_file_name,source_file,malware_type,paper,origin
20160324_8b4a0b30815fd4dbc41942ab25f89c49.wasm,javascript,unknown,no,Hynek Petrak
20161123_b8c859023fcb6b5457fdb487ca01cfdf.wasm,javascript,unknown,no,Hynek Petrak
20161206_76d8f2025906be8b977e063ab7d5046f.wasm,javascript,unknown,no,Hynek Petrak
20160628_b37f68e2958e5ab5c4073d079b11746d.wasm,javascript,unknown,no,Hynek Petrak
20160523_d107c12a0ef80265267dec93be77f582.wasm,javascript,unknown,no,Hynek Petrak
20161125_9ec6f5787af40adefd4a4c008b7f8af8.wasm,javascript,unknown,no,Hynek Petrak
20160311_35d0b12bd8ef5b71a66a0c54a5b08b25.wasm,javascript,unknown,no,Hynek Petrak
20160906_063a98eb9b1d7715554425c4a85071e5.wasm,javascript,unknown,no,Hynek Petrak
20161124_51fa580b8e77afbf8780fc39994cccad.wasm,javascript,unknown,no,Hynek Petrak
20161206_0c9e184ac005f567e4e6d985b18bfde6.wasm,javascript,unknown,no,Hynek Petrak
20160401_f9037e908ffb159c839e98798440bba2.wasm,javascript,unknown,no,Hynek Petrak
20161006_6cfbca770f1526d7739b314b945cbe54.wasm,javascript,unknown,no,Hynek Petrak
20161007_218115a80ac247f9b6b9198eee638b6e.wasm,javascript,unknown,no,Hynek Petrak
20161024_78941d2b3d8b5f3bd304a87a72c92c4e.wasm,javascript,unknown,no,Hynek Petrak
20160804_33268ac34d477e7abd255196d69c952e.wasm,javascript,unknown,no,Hynek Petrak
20160905_6b82e10a1a871002268eadf3e4d4dfcf.wasm,javascript,unknown,no,Hynek Petrak
20161123_fd92143f3a8dbbfe56f53f2dd3a25b01.wasm,javascript,unknown,no,Hynek Petrak
20161123_3c51aaf33cc3739f7712a5b61391523a.wasm,javascript,unknown,no,Hynek Petrak
20160427_09e4c67666eb6c2f8d8c05eb6fc7a37f.wasm,javascript,unknown,no,Hynek Petrak
20160624_f755a39c13455bbf8124f0e52150829c.wasm,javascript,unknown,no,Hynek Petrak
20161206_30e0e0bf220cfe344a21f22fc63ce8b9.wasm,javascript,unknown,no,Hynek Petrak
20161216_96a5226f9266d38e00034b0bee617df1.wasm,javascript,unknown,no,Hynek Petrak
20160318_1a79f331f1afe15fd5e72403bf732421.wasm,javascript,unknown,no,Hynek Petrak
20160712_24cf654a51796d1828e6dd0652c5da98.wasm,javascript,unknown,no,Hynek Petrak
20160401_16e9ceef5b8fb30b4dff90c6bd92a068.wasm,javascript,unknown,no,Hynek Petrak
20160902_05f3cbed0cf65d291716d67479549ef5.wasm,javascript,unknown,no,Hynek Petrak
20160916_203f6b117e98dd104f3e7c928cca7cd2.wasm,javascript,unknown,no,Hynek Petrak
20160920_768f5ebf7bcb89145c2e10ef20108433.wasm,javascript,unknown,no,Hynek Petrak
