filename,reason
sample9540.wasm,Error:2:2696 'document' is not defined
sample9578.wasm,Error:2:2696 'document' is not defined
sample9059.wasm,Error:2:2696 'document' is not defined
sample9095.wasm,Error:2:3028 'document' is not defined
sample9881.wasm,Error:2:3692 'document' is not defined
d9b1e5eaeb21f120f28e2b776a33ee9a_0000792183.doc.wasm,Error:1:3711 cannot read property 'eval' of undefined
sample9437.wasm,Error:2:3028 'document' is not defined
sample9617.wasm,Error:2:2862 'document' is not defined
56f5d5ff330740e3624621cb1d0bb3a1_doc_X9I8k7JrimG.wasm,Error:6:16941 'PHKOwDmkrMHMHtrosOaDuCRYl' is not defined
sample9517.wasm,Error:2:3194 'document' is not defined
sample9275.wasm,Error:2:2862 'document' is not defined
sample9183.wasm,Error:2:2696 'document' is not defined
sample9889.wasm,Error:2:3692 'document' is not defined
sample9069.wasm,Error:2:3526 'document' is not defined
cd7be7a8bac893c8578401ec33875f67_info_HsUxzD2EF52.wasm,Error:6:17775 'PeZNtpHNrAhLoJlzgxHglwSPp' is not defined
sample909.wasm,Error:2:3360 'document' is not defined
sample9157.wasm,Error:2:3858 'document' is not defined
119d4d0a4830bc25dcbe21cbba0c874e_invoice_scan_tEAM1t.wasm,Error:45:31 'c2' is not defined
sample9109.wasm,Error:2:2364 'document' is not defined
sample9596.wasm,Error:2:2198 'document' is not defined
ded03a00ae8738ca3e9564f0d2d81b2d_Brady_Baldwin.wasm,Error:1:2591 'ActiveXObject' is not defined
sample9568.wasm,Error:2:2530 'document' is not defined
sample9744.wasm,Error:2:2198 'document' is not defined
sample945.wasm,Error:2:2364 'document' is not defined
sample9727.wasm,Error:2:3858 'document' is not defined
sample9300.wasm,Error:2:2198 'document' is not defined
sample9017.wasm,Error:2:2364 'document' is not defined
sample9361.wasm,Error:2:3360 'document' is not defined
sample9196.wasm,Error:2:3194 'document' is not defined
sample9139.wasm,Error:2:2364 'document' is not defined
sample9606.wasm,Error:2:2364 'document' is not defined
sample9566.wasm,Error:2:3360 'document' is not defined
sample9641.wasm,Error:2:2364 'document' is not defined
sample9561.wasm,Error:2:3692 'document' is not defined
sample9191.wasm,Error:2:2364 'document' is not defined
sample9507.wasm,Error:2:2198 'document' is not defined
sample9836.wasm,Error:2:2530 'document' is not defined
sample9420.wasm,Error:2:3526 'document' is not defined
sample9554.wasm,Error:2:2198 'document' is not defined
sample9150.wasm,Error:2:3360 'document' is not defined
sample9011.wasm,Error:2:3692 'document' is not defined
jquery_injected.wasm,Error:1:1 'window' is not defined
ek_rig_start[.]remax-grandrapidstwp[.]com.wasm,Error:25:20 'da2' is not defined
sample9207.wasm,Error:2:2696 'document' is not defined
sample9756.wasm,Error:2:3526 'document' is not defined
sample9180.wasm,Error:2:3360 'document' is not defined
25d70b4d7b8a1760bb0e92a4e9b58d42_scanned_0000757512.doc.wasm,Error:1:88 'WScript' is not defined
My_Resume.wasm,Error:1:1663 'WScript' is not defined
22f8feaddf02294d70d6614ba821f95b_doc_OTpkXCGPhGM.wasm,Error:6:17711 'KAvgSGFFOEBmOPWJvfRflFuoP' is not defined
sample9133.wasm,Error:2:2530 'document' is not defined
sample908.wasm,Error:2:2198 'document' is not defined
sample9774.wasm,Error:2:3526 'document' is not defined
sample9247.wasm,Error:2:2364 'document' is not defined
